date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-10,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-11,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-12,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-13,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-17,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-23,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-24,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-30,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-31,10000.0,0.0,0.0,10000.0,10000.0,0
2023-02-01,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-07,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-08,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-13,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-14,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-15,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-16,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-17,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-21,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-22,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-23,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-24,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-27,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-28,20000.0,0.0,0.0,20000.0,20000.0,0
2023-03-01,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-02,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-03,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-06,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-07,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-08,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-09,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-10,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-13,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-14,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-15,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-16,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-17,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-20,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-21,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-22,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-23,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-24,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-27,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-28,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-29,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-30,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-31,30000.0,0.0,0.0,30000.0,30000.0,0
2023-04-03,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-04,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-05,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-06,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-10,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-11,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-12,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-13,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-14,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-17,0.0,367.0975334752968,39940.06992507743,39940.06992507743,40000.0,1
2023-04-18,0.0,367.0975334752968,39754.277772076406,39754.277772076406,40000.0,1
2023-04-19,0.0,367.0975334752968,39422.01014068773,39422.01014068773,40000.0,1
2023-04-20,0.0,367.0975334752968,40868.98867910385,40868.98867910385,40000.0,1
2023-04-21,0.0,367.0975334752968,40536.71824698327,40536.71824698327,40000.0,0
2023-04-24,0.0,367.0975334752968,40590.31305289592,40590.31305289592,40000.0,0
2023-04-25,0.0,367.0975334752968,39518.478550744985,39518.478550744985,40000.0,1
2023-04-26,0.0,367.0975334752968,39411.297341115416,39411.297341115416,40000.0,1
2023-04-27,0.0,367.0975334752968,39900.7644533917,39900.7644533917,40000.0,1
2023-04-28,0.0,367.0975334752968,40383.09250001835,40383.09250001835,40000.0,0
2023-05-01,10000.0,367.0975334752968,40354.50823010068,50354.50823010068,50000.0,0
2023-05-02,10000.0,367.0975334752968,40072.25886997006,50072.25886997006,50000.0,0
2023-05-03,10000.0,367.0975334752968,40475.9871761529,50475.9871761529,50000.0,0
2023-05-04,10000.0,367.0975334752968,40175.86914640885,50175.86914640885,50000.0,0
2023-05-05,10000.0,367.0975334752968,41465.64260247352,51465.64260247352,50000.0,0
2023-05-08,10000.0,367.0975334752968,41354.88485818936,51354.88485818936,50000.0,0
2023-05-09,10000.0,367.0975334752968,40672.4809257986,50672.4809257986,50000.0,0
2023-05-10,10000.0,367.0975334752968,41233.41431433288,51233.41431433288,50000.0,0
2023-05-11,10000.0,367.0975334752968,41251.27458175057,51251.27458175057,50000.0,0
2023-05-12,10000.0,367.0975334752968,41476.36100350968,51476.36100350968,50000.0,0
2023-05-15,10000.0,367.0975334752968,43269.89650754139,53269.89650754139,50000.0,0
2023-05-16,10000.0,367.0975334752968,43202.01516813372,53202.01516813372,50000.0,0
2023-05-17,10000.0,367.0975334752968,44909.80346387625,54909.80346387625,50000.0,0
2023-05-18,10000.0,367.0975334752968,46417.51867458657,56417.51867458657,50000.0,0
2023-05-19,10000.0,367.0975334752968,45356.39417127602,55356.39417127602,50000.0,0
2023-05-22,10000.0,367.0975334752968,45213.486825347245,55213.486825347245,50000.0,0
2023-05-23,10000.0,367.0975334752968,44477.496489239566,54477.496489239566,50000.0,0
2023-05-24,10000.0,367.0975334752968,43603.49168585744,53603.49168585744,50000.0,0
2023-05-25,10000.0,367.0975334752968,46734.152620429435,56734.152620429435,50000.0,0
2023-05-26,10000.0,367.0975334752968,48736.47148574692,58736.47148574692,50000.0,0
2023-05-30,10000.0,367.0975334752968,48919.157627054956,58919.157627054956,50000.0,0
2023-05-31,10000.0,367.0975334752968,47747.83552584311,57747.83552584311,50000.0,0
2023-06-01,20000.0,367.0975334752968,48295.89394976722,68295.89394976723,60000.0,0
2023-06-02,20000.0,367.0975334752968,48224.25122739861,68224.2512273986,60000.0,0
2023-06-05,20000.0,367.0975334752968,47901.87578113136,67901.87578113136,60000.0,0
2023-06-06,20000.0,367.0975334752968,47977.103440350314,67977.10344035031,60000.0,0
2023-06-07,20000.0,367.0975334752968,48360.36119697131,68360.36119697131,60000.0,0
2023-06-08,20000.0,367.0975334752968,48786.621391404944,68786.62139140494,60000.0,0
2023-06-09,20000.0,367.0975334752968,48757.95870099367,68757.95870099368,60000.0,0
2023-06-12,20000.0,367.0975334752968,50151.362038620544,70151.36203862054,60000.0,0
2023-06-13,20000.0,367.0975334752968,50788.948658918176,70788.94865891818,60000.0,0
2023-06-14,20000.0,367.0975334752968,50566.861821039325,70566.86182103932,60000.0,0
2023-06-15,20000.0,367.0975334752968,50187.17779834102,70187.17779834103,60000.0,0
2023-06-16,20000.0,367.0975334752968,49764.50814222155,69764.50814222154,60000.0,0
2023-06-20,20000.0,367.0975334752968,49617.63776063399,69617.63776063398,60000.0,0
2023-06-21,20000.0,367.0975334752968,48954.97898823926,68954.97898823925,60000.0,0
2023-06-22,20000.0,367.0975334752968,49760.91200244355,69760.91200244354,60000.0,0
2023-06-23,20000.0,367.0975334752968,48740.062024061095,68740.0620240611,60000.0,0
2023-06-26,20000.0,367.0975334752968,50076.13437940159,70076.1343794016,60000.0,0
2023-06-27,20000.0,367.0975334752968,52493.96703079743,72493.96703079743,60000.0,0
2023-06-28,20000.0,367.0975334752968,51591.31914212743,71591.31914212744,60000.0,0
2023-06-29,20000.0,367.0975334752968,51662.950661568386,71662.95066156838,60000.0,0
2023-06-30,20000.0,367.0975334752968,51773.994080507815,71773.99408050781,60000.0,0
2023-07-03,30000.0,367.0975334752968,52107.124337326095,82107.1243373261,70000.0,0
2023-07-05,30000.0,367.0975334752968,50957.30065428866,80957.30065428866,70000.0,0
2023-07-06,30000.0,367.0975334752968,50283.8870713429,80283.8870713429,70000.0,0
2023-07-07,30000.0,367.0975334752968,49993.753650873434,79993.75365087343,70000.0,0
2023-07-10,30000.0,367.0975334752968,50348.37112293847,80348.37112293846,70000.0,0
2023-07-11,30000.0,367.0975334752968,49273.76949765616,79273.76949765616,70000.0,0
2023-07-12,30000.0,367.0975334752968,49750.173996284,79750.173996284,70000.0,0
2023-07-13,30000.0,367.0975334752968,51097.00116217553,81097.00116217553,70000.0,0
2023-07-14,30000.0,367.0975334752968,51129.23758650949,81129.2375865095,70000.0,0
2023-07-17,30000.0,367.0975334752968,52117.86234348564,82117.86234348564,70000.0,0
2023-07-18,30000.0,367.0975334752968,51763.23926995678,81763.23926995677,70000.0,0
2023-07-19,30000.0,367.0975334752968,50785.36932353166,80785.36932353166,70000.0,0
2023-07-20,30000.0,367.0975334752968,48012.91920007079,78012.91920007078,70000.0,0
2023-07-21,30000.0,367.0975334752968,48858.25851230972,78858.25851230972,70000.0,0
2023-07-24,30000.0,367.0975334752968,49556.74984881642,79556.74984881643,70000.0,0
2023-07-25,30000.0,367.0975334752968,50169.27551994461,80169.27551994461,70000.0,0
2023-07-26,30000.0,367.0975334752968,49796.744566555506,79796.74456655551,70000.0,0
2023-07-27,30000.0,367.0975334752968,52347.113453601356,82347.11345360136,70000.0,0
2023-07-28,30000.0,367.0975334752968,54421.07784201936,84421.07784201935,70000.0,0
2023-07-31,30000.0,367.0975334752968,54299.302018384216,84299.30201838422,70000.0,0
2023-08-01,40000.0,367.0975334752968,54671.82176884566,94671.82176884566,80000.0,0
2023-08-02,40000.0,367.0975334752968,52773.368046571166,92773.36804657117,80000.0,0
2023-08-03,40000.0,367.0975334752968,52945.304978791995,92945.304978792,80000.0,0
2023-08-04,40000.0,367.0975334752968,52175.18212284435,92175.18212284436,80000.0,0
2023-08-07,40000.0,367.0975334752968,53865.871950249886,93865.87195024989,80000.0,0
2023-08-08,40000.0,367.0975334752968,53016.94770116061,93016.9477011606,80000.0,0
2023-08-09,40000.0,367.0975334752968,51996.075316922834,91996.07531692283,80000.0,0
2023-08-10,40000.0,367.0975334752968,51799.07183406874,91799.07183406875,80000.0,0
2023-08-11,40000.0,367.0975334752968,49728.68117957342,89728.68117957341,80000.0,0
2023-08-14,40000.0,367.0975334752968,50824.77002010248,90824.77002010247,80000.0,0
2023-08-15,40000.0,367.0975334752968,50176.43419071764,90176.43419071764,80000.0,0
2023-08-16,40000.0,367.0975334752968,49520.922886168286,89520.9228861683,80000.0,0
2023-08-17,40000.0,367.0975334752968,49284.518706743365,89284.51870674337,80000.0,0
2023-08-18,40000.0,367.0975334752968,51100.591700489706,91100.5917004897,80000.0,0
2023-08-21,40000.0,367.0975334752968,53289.178843233654,93289.17884323365,80000.0,0
2023-08-22,40000.0,367.0975334752968,52959.633523265715,92959.63352326571,80000.0,0
2023-08-23,40000.0,367.0975334752968,53128.34961378507,93128.34961378507,80000.0,0
2023-08-24,40000.0,367.0975334752968,51161.160328869046,91161.16032886904,80000.0,0
2023-08-25,40000.0,367.0975334752968,51821.679342081225,91821.67934208122,80000.0,0
2023-08-28,40000.0,367.0975334752968,52202.19798289,92202.19798289001,80000.0,0
2023-08-29,40000.0,367.0975334752968,53839.11375754036,93839.11375754036,80000.0,0
2023-08-30,40000.0,367.0975334752968,54187.3231549854,94187.32315498541,80000.0,0
2023-08-31,40000.0,367.0975334752968,54837.070553255064,94837.07055325506,80000.0,0
2023-09-01,50000.0,367.0975334752968,55278.605939549474,105278.60593954948,90000.0,0
2023-09-05,50000.0,367.0975334752968,55142.19909239386,105142.19909239386,90000.0,0
2023-09-06,50000.0,367.0975334752968,54987.83955366737,104987.83955366738,90000.0,0
2023-09-07,50000.0,367.0975334752968,53210.91519061957,103210.91519061956,90000.0,0
2023-09-08,50000.0,367.0975334752968,52959.62792180189,102959.62792180189,90000.0,0
2023-09-11,50000.0,367.0975334752968,52665.2878019971,102665.2878019971,90000.0,0
2023-09-12,50000.0,367.0975334752968,51681.681956611435,101681.68195661143,90000.0,0
2023-09-13,50000.0,367.0975334752968,51900.64877913772,101900.64877913773,90000.0,0
2023-09-14,50000.0,367.0975334752968,51897.06384228738,101897.06384228737,90000.0,0
2023-09-15,0.0,736.3900717401533,99553.42956435736,99553.42956435736,90000.0,1
2023-09-18,0.0,736.3900717401533,101008.05165186945,101008.05165186945,90000.0,1
2023-09-19,0.0,736.3900717401533,99164.5819871076,99164.5819871076,90000.0,1
2023-09-20,0.0,736.3900717401533,98631.71720481796,98631.71720481796,90000.0,1
2023-09-21,0.0,736.3900717401533,97349.93374162696,97349.93374162696,90000.0,1
2023-09-22,0.0,736.3900717401533,98055.61467539614,98055.61467539614,90000.0,1
2023-09-25,0.0,736.3900717401533,98358.06541332688,98358.06541332688,90000.0,1
2023-09-26,0.0,736.3900717401533,96550.6421864029,96550.6421864029,90000.0,1
2023-09-27,0.0,736.3900717401533,97256.32312017208,97256.32312017208,90000.0,1
2023-09-28,0.0,736.3900717401533,99531.82192721202,99531.82192721202,90000.0,1
2023-09-29,0.0,736.3900717401533,99697.44676939723,99697.44676939723,90000.0,0
2023-10-02,10000.0,736.3900717401533,100460.75930530806,110460.75930530806,100000.0,0
2023-10-03,10000.0,736.3900717401533,98451.66479836099,108451.66479836099,100000.0,0
2023-10-04,10000.0,736.3900717401533,100309.5283181323,110309.5283181323,100000.0,0
2023-10-05,10000.0,736.3900717401533,100295.13446312286,110295.13446312286,100000.0,0
2023-10-06,10000.0,736.3900717401533,101022.42303403736,111022.42303403736,100000.0,0
2023-10-09,10000.0,736.3900717401533,100921.60986686737,110921.60986686737,100000.0,0
2023-10-10,10000.0,736.3900717401533,101821.7258256822,111821.7258256822,100000.0,0
2023-10-11,10000.0,736.3900717401533,102383.4232636738,112383.4232636738,100000.0,0
2023-10-12,10000.0,736.3900717401533,104414.08046208312,114414.08046208312,100000.0,0
2023-10-13,10000.0,736.3900717401533,101634.52705561397,111634.52705561397,100000.0,0
2023-10-16,10000.0,736.3900717401533,101533.7026520232,111533.7026520232,100000.0,0
2023-10-17,10000.0,736.3900717401533,102772.27084092356,112772.27084092356,100000.0,0
2023-10-18,10000.0,736.3900717401533,101857.73855425774,111857.73855425774,100000.0,0
2023-10-19,0.0,812.3473677385381,106787.67011275569,106787.67011275569,100000.0,1
2023-10-20,0.0,812.3473677385381,106541.4223587351,106541.4223587351,100000.0,1
2023-10-23,0.0,812.3473677385381,106628.77300418878,106628.77300418878,100000.0,1
2023-10-24,0.0,812.3473677385381,107161.02067910525,107161.02067910525,100000.0,1
2023-10-25,0.0,812.3473677385381,103355.96855249646,103355.96855249646,100000.0,1
2023-10-26,0.0,812.3473677385381,103935.8580900213,103935.8580900213,100000.0,1
2023-10-27,0.0,812.3473677385381,104301.3065652006,104301.3065652006,100000.0,1
2023-10-30,0.0,812.3473677385381,104086.79113023229,104086.79113023229,100000.0,1
2023-10-31,0.0,812.3473677385381,105135.38313422768,105135.38313422768,100000.0,1
2023-11-01,0.0,887.8218156750512,117455.86211143395,117455.86211143395,110000.0,1
2023-11-02,0.0,887.8218156750512,120251.39809802538,120251.39809802538,110000.0,0
2023-11-03,0.0,887.8218156750512,121327.9443661261,121327.9443661261,110000.0,0
2023-11-06,0.0,887.8218156750512,121857.49995045744,121857.49995045744,110000.0,0
2023-11-07,0.0,887.8218156750512,123055.59067244972,123055.59067244972,110000.0,0
2023-11-08,0.0,887.8218156750512,125217.36689065568,125217.36689065568,110000.0,0
2023-11-09,0.0,887.8218156750512,124297.09980446455,124297.09980446455,110000.0,0
2023-11-10,0.0,887.8218156750512,130817.10899875726,130817.10899875726,110000.0,0
2023-11-13,0.0,887.8218156750512,130001.00545536284,130001.00545536284,110000.0,0
2023-11-14,0.0,887.8218156750512,133768.9241672583,133768.9241672583,110000.0,0
2023-11-15,0.0,887.8218156750512,134888.86175120997,134888.86175120997,110000.0,0
2023-11-16,0.0,887.8218156750512,134402.69748272956,134402.69748272956,110000.0,0
2023-11-17,0.0,887.8218156750512,129002.62587238854,129002.62587238854,110000.0,0
2023-11-20,0.0,887.8218156750512,132457.95912629316,132457.95912629316,110000.0,0
2023-11-21,0.0,887.8218156750512,129575.62696091404,129575.62696091404,110000.0,0
2023-11-22,0.0,887.8218156750512,130054.13712591151,130054.13712591151,110000.0,0
2023-11-24,0.0,887.8218156750512,130802.38331648128,130802.38331648128,110000.0,0
2023-11-27,0.0,887.8218156750512,131211.30210167036,131211.30210167036,110000.0,0
2023-11-28,0.0,887.8218156750512,128818.68354125395,128818.68354125395,110000.0,0
2023-11-29,0.0,887.8218156750512,129949.7297355702,129949.7297355702,110000.0,0
2023-11-30,0.0,887.8218156750512,130315.14882822186,130315.14882822186,110000.0,0
2023-12-01,10000.0,887.8218156750512,131889.9298182601,141889.9298182601,120000.0,0
2023-12-04,10000.0,887.8218156750512,129001.37954049397,139001.37954049397,120000.0,0
2023-12-05,10000.0,887.8218156750512,127156.87607196924,137156.87607196922,120000.0,0
2023-12-06,10000.0,887.8218156750512,125895.34434712653,135895.34434712655,120000.0,0
2023-12-07,10000.0,887.8218156750512,129105.80047792109,139105.8004779211,120000.0,0
2023-12-08,10000.0,887.8218156750512,128522.88292258231,138522.88292258233,120000.0,0
2023-12-11,10000.0,887.8218156750512,134978.59764761853,144978.59764761853,120000.0,0
2023-12-12,10000.0,887.8218156750512,136788.27155852452,146788.27155852452,120000.0,0
2023-12-13,10000.0,887.8218156750512,136588.18110110387,146588.18110110387,120000.0,0
2023-12-14,10000.0,887.8218156750512,140720.8686455321,150720.8686455321,120000.0,0
2023-12-15,10000.0,887.8218156750512,140903.5781918579,150903.5781918579,120000.0,0
2023-12-18,10000.0,887.8218156750512,139520.23107140744,149520.23107140744,120000.0,0
2023-12-19,10000.0,887.8218156750512,141234.20836814828,151234.20836814828,120000.0,0
2023-12-20,10000.0,887.8218156750512,136527.2734033,146527.2734033,120000.0,0
2023-12-21,10000.0,887.8218156750512,140416.3707977701,150416.3707977701,120000.0,0
2023-12-22,10000.0,887.8218156750512,140990.59112401857,150990.59112401857,120000.0,0
2023-12-26,10000.0,887.8218156750512,142930.79120670847,152930.79120670847,120000.0,0
2023-12-27,10000.0,887.8218156750512,142869.9106030762,152869.9106030762,120000.0,0
2023-12-28,10000.0,887.8218156750512,141921.53331382835,151921.53331382835,120000.0,0
2023-12-29,10000.0,887.8218156750512,141007.99912928502,151007.99912928502,120000.0,0
2024-01-02,20000.0,887.8218156750512,134308.6536130333,154308.6536130333,130000.0,0
2024-01-03,20000.0,887.8218156750512,131768.11442265235,151768.11442265235,130000.0,0
2024-01-04,20000.0,887.8218156750512,129906.2435901186,149906.2435901186,130000.0,0
2024-01-05,20000.0,887.8218156750512,129636.49401746049,149636.4940174605,130000.0,0
2024-01-08,20000.0,887.8218156750512,131863.85167807495,151863.85167807495,130000.0,0
2024-01-09,20000.0,887.8218156750512,131402.7088770865,151402.7088770865,130000.0,0
2024-01-10,20000.0,887.8218156750512,130341.26760966446,150341.26760966447,130000.0,0
2024-01-11,20000.0,887.8218156750512,132203.151989284,152203.151989284,130000.0,0
2024-01-12,20000.0,887.8218156750512,131594.12919958847,151594.12919958847,130000.0,0
2024-01-16,20000.0,887.8218156750512,133777.93297932227,153777.93297932227,130000.0,0
2024-01-17,20000.0,887.8218156750512,133438.60557394158,153438.60557394158,130000.0,0
2024-01-18,20000.0,887.8218156750512,139502.80951905515,159502.80951905515,130000.0,0
2024-01-19,20000.0,887.8218156750512,146115.18274440366,166115.18274440366,130000.0,0
2024-01-22,20000.0,887.8218156750512,146428.39136834178,166428.39136834178,130000.0,0
2024-01-23,20000.0,887.8218156750512,145340.8177723913,165340.8177723913,130000.0,0
2024-01-24,20000.0,887.8218156750512,151509.442654932,171509.442654932,130000.0,0
2024-01-25,20000.0,887.8218156750512,150195.67336720412,170195.67336720412,130000.0,0
2024-01-26,20000.0,887.8218156750512,145210.31869477904,165210.31869477904,130000.0,0
2024-01-29,20000.0,887.8218156750512,146584.982133225,166584.982133225,130000.0,0
2024-01-30,20000.0,887.8218156750512,144636.07127435898,164636.07127435898,130000.0,0
2024-01-31,20000.0,887.8218156750512,142948.21275906073,162948.21275906073,130000.0,0
2024-02-01,30000.0,887.8218156750512,145271.21284549712,175271.21284549712,140000.0,0
2024-02-02,30000.0,887.8218156750512,146323.95688382883,176323.95688382883,140000.0,0
2024-02-05,30000.0,887.8218156750512,148855.78529803365,178855.78529803365,140000.0,0
2024-02-06,30000.0,887.8218156750512,146776.37536155534,176776.37536155534,140000.0,0
2024-02-07,30000.0,887.8218156750512,148690.4973040601,178690.4973040601,140000.0,0
2024-02-08,30000.0,887.8218156750512,151291.9170980733,181291.9170980733,140000.0,0
2024-02-09,30000.0,887.8218156750512,161688.92613920732,191688.92613920732,140000.0,0
2024-02-12,30000.0,887.8218156750512,161427.92798398284,191427.92798398284,140000.0,0
2024-02-13,30000.0,887.8218156750512,156877.57023693196,186877.57023693196,140000.0,0
2024-02-14,30000.0,887.8218156750512,161993.46462822676,191993.46462822676,140000.0,0
2024-02-15,30000.0,887.8218156750512,163272.40435833592,193272.40435833592,140000.0,0
2024-02-16,30000.0,887.8218156750512,173634.66512436615,203634.66512436615,140000.0,0
2024-02-20,30000.0,887.8218156750512,164560.06841170703,194560.06841170703,140000.0,0
2024-02-21,30000.0,887.8218156750512,165876.07296859362,195876.07296859362,140000.0,0
2024-02-22,30000.0,887.8218156750512,174068.34798241674,204068.34798241674,140000.0,0
2024-02-23,30000.0,887.8218156750512,171828.55409702827,201828.55409702827,140000.0,0
2024-02-26,30000.0,887.8218156750512,177397.54432034012,207397.54432034012,140000.0,0
2024-02-27,30000.0,887.8218156750512,176796.18918121327,206796.18918121327,140000.0,0
2024-02-28,30000.0,887.8218156750512,172159.69906257943,202159.69906257943,140000.0,0
2024-02-29,30000.0,887.8218156750512,175715.52459902616,205715.52459902616,140000.0,0
2024-03-01,40000.0,887.8218156750512,183236.73117014175,223236.73117014175,150000.0,0
2024-03-04,40000.0,887.8218156750512,182574.37350361038,222574.37350361038,150000.0,0
2024-03-05,40000.0,887.8218156750512,180744.1757577015,220744.1757577015,150000.0,0
2024-03-06,40000.0,887.8218156750512,184910.04011527955,224910.04011527955,150000.0,0
2024-03-07,40000.0,887.8218156750512,185293.50392623077,225293.50392623077,150000.0,0
2024-03-08,40000.0,887.8218156750512,179149.30443940635,219149.30443940635,150000.0,0
2024-03-11,40000.0,887.8218156750512,175497.63327085055,215497.63327085055,150000.0,0
2024-03-12,40000.0,887.8218156750512,178608.96537476988,218608.96537476988,150000.0,0
2024-03-13,40000.0,887.8218156750512,174791.7081763527,214791.7081763527,150000.0,0
2024-03-14,40000.0,887.8218156750512,174957.29420621408,214957.29420621408,150000.0,0
2024-03-15,40000.0,887.8218156750512,173127.0829132194,213127.0829132194,150000.0,0
2024-03-18,40000.0,887.8218156750512,174939.84555969018,214939.84555969018,150000.0,0
2024-03-19,40000.0,887.8218156750512,175471.47384815055,215471.47384815055,150000.0,0
2024-03-20,40000.0,887.8218156750512,178713.5353301409,218713.5353301409,150000.0,0
2024-03-21,40000.0,887.8218156750512,183716.05416028787,223716.05416028787,150000.0,0
2024-03-22,40000.0,887.8218156750512,183236.73117014175,223236.73117014175,150000.0,0
